mnemonics,label
HGR,GAMMA RAY
HGR_STGC,GAMMA RAY
HSGR,GAMMA RAY
MGR,GAMMA RAY
P01LGR,GAMMA RAY
P02LGR,GAMMA RAY
P03LGR,GAMMA RAY
RGR,GAMMA RAY
SGR,GAMMA RAY
GRM1,GAMMA RAY
POTA,SPECTRAL GAMMA RAY
HPOT,SPECTRAL GAMMA RAY
TH,SPECTRAL GAMMA RAY
HTHO,SPECTRAL GAMMA RAY
THOR,SPECTRAL GAMMA RAY
HURA,SPECTRAL GAMMA RAY
U,SPECTRAL GAMMA RAY
URAN,SPECTRAL GAMMA RAY
UZ,SPECTRAL GAMMA RAY
APSC,DENSITY POROSITY
DNPH,DENSITY POROSITY
DPH8,DENSITY POROSITY
DPHI,DENSITY POROSITY
DPHI_SAN,DENSITY POROSITY
DPHI_SLDT,DENSITY POROSITY
DPHI_SLDT_HR,DENSITY POROSITY
DPHZ,DENSITY POROSITY
DPO,DENSITY POROSITY
DPOR,DENSITY POROSITY
DPSS,DENSITY POROSITY
HDPH,DENSITY POROSITY
HDPH_SAN,DENSITY POROSITY
HDPO,DENSITY POROSITY
HFSC,DENSITY POROSITY
NDPH,DENSITY POROSITY
PDS,DENSITY POROSITY
PXND,DENSITY POROSITY
DEN,DENSITY POROSITY
DENB,DENSITY POROSITY
HNDP,DENSITY POROSITY
HRHO,BULK DENSITY
HROM,BULK DENSITY
NRHB,BULK DENSITY
NRHO,BULK DENSITY
RHO8,DENSITY POROSITY
RHOB,BULK DENSITY
RHOB_SLDT,BULK DENSITY
RHOI,DENSITY POROSITY
RHOM,BULK DENSITY
RHOS,BULK DENSITY
RHOZ,DENSITY POROSITY
RHL,BULK DENSITY
RHS3,BULK DENSITY
RHS4,BULK DENSITY
DPHI_DOL,DENSITY POROSITY
DPHI_LIM,DENSITY POROSITY
DPHL,DENSITY POROSITY
DPLS,DENSITY POROSITY
HDPH_DOL,DENSITY POROSITY
HDPH_LIM,DENSITY POROSITY
HFLC,DENSITY POROSITY
PDD,DENSITY POROSITY
PDL,DENSITY POROSITY
CNC,NEUTRON POROSITY
FPSC,NEUTRON POROSITY
HASC,NEUTRON POROSITY
HNPO,NEUTRON POROSITY
HNPO_SAN,NEUTRON POROSITY
HTNP,NEUTRON POROSITY
HTNP_SAN,NEUTRON POROSITY
NCNL,NEUTRON POROSITY
NPHI,NEUTRON POROSITY
NPHI_SAN,NEUTRON POROSITY
NPOR,NEUTRON POROSITY
NPOR_SAN,NEUTRON POROSITY
PRON,NEUTRON POROSITY
SNP,NEUTRON POROSITY
TNPH,NEUTRON POROSITY
TNPH_SAN,NEUTRON POROSITY
ENPH,NEUTRON POROSITY
APDC,NEUTRON POROSITY
APLC,NEUTRON POROSITY
APLU,NEUTRON POROSITY
FPLC,NEUTRON POROSITY
FPMC,NEUTRON POROSITY
HADC,NEUTRON POROSITY
HALC,NEUTRON POROSITY
HNPO_DOL,NEUTRON POROSITY
HNPO_LIM,NEUTRON POROSITY
HTNP_DOL,NEUTRON POROSITY
HTNP_LIM,NEUTRON POROSITY
NPHI_DOL,NEUTRON POROSITY
NPHI_LIM,NEUTRON POROSITY
NPOR_DOL,NEUTRON POROSITY
NPOR_LIM,NEUTRON POROSITY
TNPH_DOL,NEUTRON POROSITY
TNPH_LIM,NEUTRON POROSITY
TPHC,NEUTRON POROSITY
PEF,PHOTOELECTRIC EFFECT
PEF_SLDT,PHOTOELECTRIC EFFECT
PEF_SLDT_HR,PHOTOELECTRIC EFFECT
PEF8,PHOTOELECTRIC EFFECT
PEFA,PHOTOELECTRIC EFFECT
PEFSA,PHOTOELECTRIC EFFECT
PEFZ,PHOTOELECTRIC EFFECT
SPEF,PHOTOELECTRIC EFFECT
HPEF,PHOTOELECTRIC EFFECT
HPEF,PHOTOELECTRIC EFFECT
PEFI,PHOTOELECTRIC EFFECT
PEFI,PHOTOELECTRIC EFFECT
PEFL,PHOTOELECTRIC EFFECT
PEFL,PHOTOELECTRIC EFFECT
LPE,PHOTOELECTRIC EFFECT
PEFS,PHOTOELECTRIC EFFECT
A22H,DEEP RESISTIVITY
A22H_UNC,DEEP RESISTIVITY
A28H,DEEP RESISTIVITY
A28H_UNC,DEEP RESISTIVITY
A34H,DEEP RESISTIVITY
A34H_UNC,DEEP RESISTIVITY
AF60,DEEP RESISTIVITY
AF90,DEEP RESISTIVITY
AFRT,DEEP RESISTIVITY
AHF60,DEEP RESISTIVITY
AHF90,DEEP RESISTIVITY
AHO60,DEEP RESISTIVITY
AHO90,DEEP RESISTIVITY
AHT60,DEEP RESISTIVITY
AHT90,DEEP RESISTIVITY
AHTRT,DEEP RESISTIVITY
AO60,DEEP RESISTIVITY
AO90,DEEP RESISTIVITY
AORT,DEEP RESISTIVITY
ASF60,DEEP RESISTIVITY
ASF90,DEEP RESISTIVITY
ASO60,DEEP RESISTIVITY
ASO90,DEEP RESISTIVITY
AST60,DEEP RESISTIVITY
AST90,DEEP RESISTIVITY
AT60,DEEP RESISTIVITY
AT90,DEEP RESISTIVITY
ATRT,DEEP RESISTIVITY
DIPH,DEEP RESISTIVITY
FE2,DEEP RESISTIVITY
HLLD,DEEP RESISTIVITY
HRLD,DEEP RESISTIVITY
IDER,DEEP RESISTIVITY
IDPH,DEEP RESISTIVITY
IDVR,DEEP RESISTIVITY
IL,DEEP RESISTIVITY
ILD,DEEP RESISTIVITY
ILD2,DEEP RESISTIVITY
ILD4,DEEP RESISTIVITY
LL,DEEP RESISTIVITY
LL3,DEEP RESISTIVITY
LL7,DEEP RESISTIVITY
LLD,DEEP RESISTIVITY
LN,DEEP RESISTIVITY
P10H,DEEP RESISTIVITY
P10H_UNC,DEEP RESISTIVITY
P16H,DEEP RESISTIVITY
P16H_UNC,DEEP RESISTIVITY
P22H,DEEP RESISTIVITY
P22H_UNC,DEEP RESISTIVITY
P28H,DEEP RESISTIVITY
P28H_UNC,DEEP RESISTIVITY
P34H,DEEP RESISTIVITY
P34H_UNC,DEEP RESISTIVITY
RFOC,DEEP RESISTIVITY
RILD,DEEP RESISTIVITY
RLA1,DEEP RESISTIVITY
RLA2,DEEP RESISTIVITY
RLA3,DEEP RESISTIVITY
RLA4,DEEP RESISTIVITY
RLA5,DEEP RESISTIVITY
RT,DEEP RESISTIVITY
RT_HRLT,DEEP RESISTIVITY
AIT6,DEEP RESISTIVITY
LLG,DEEP RESISTIVITY
RLL,DEEP RESISTIVITY
AIT9,DEEP RESISTIVITY
AFCO,DEEP RESISTIVITY
AHFCO,DEEP RESISTIVITY
AHFCO60,DEEP RESISTIVITY
AHFCO90,DEEP RESISTIVITY
AHOCO60,DEEP RESISTIVITY
AHOCO90,DEEP RESISTIVITY
AHTCO,DEEP RESISTIVITY
AHTCO60,DEEP RESISTIVITY
AHTCO90,DEEP RESISTIVITY
AOCO,DEEP RESISTIVITY
ASFCO60,DEEP RESISTIVITY
ASFCO90,DEEP RESISTIVITY
ASOCO90,DEEP RESISTIVITY
ASTCO90,DEEP RESISTIVITY
ATCO,DEEP RESISTIVITY
CIDP,DEEP RESISTIVITY
CILD,DEEP RESISTIVITY
CLLD,DEEP RESISTIVITY
COND,DEEP RESISTIVITY
FC,DEEP RESISTIVITY
P34H_COND,DEEP RESISTIVITY
AF30,MEDIUM RESISTIVITY
AHF30,MEDIUM RESISTIVITY
AHO30,MEDIUM RESISTIVITY
AHT30,MEDIUM RESISTIVITY
AO30,MEDIUM RESISTIVITY
ASF30,MEDIUM RESISTIVITY
ASO30,MEDIUM RESISTIVITY
AST30,MEDIUM RESISTIVITY
AT30,MEDIUM RESISTIVITY
HLLS,MEDIUM RESISTIVITY
ILM,MEDIUM RESISTIVITY
ILM2,MEDIUM RESISTIVITY
ILM4,MEDIUM RESISTIVITY
IMER,MEDIUM RESISTIVITY
IMPH,MEDIUM RESISTIVITY
IMVR,MEDIUM RESISTIVITY
LLS,SHALLOW RESISTIVITY
RILM,MEDIUM RESISTIVITY
AE60,MEDIUM RESISTIVITY
AIT3,MEDIUM RESISTIVITY
CILM,MEDIUM RESISTIVITY
AF10,SHALLOW RESISTIVITY
AF20,SHALLOW RESISTIVITY
AFRX,SHALLOW RESISTIVITY
AHF10,SHALLOW RESISTIVITY
AHF20,SHALLOW RESISTIVITY
AHO10,SHALLOW RESISTIVITY
AHO20,SHALLOW RESISTIVITY
AHSFI,SHALLOW RESISTIVITY
AHT10,SHALLOW RESISTIVITY
AHT20,SHALLOW RESISTIVITY
AHTRX,SHALLOW RESISTIVITY
AO10,SHALLOW RESISTIVITY
AO20,SHALLOW RESISTIVITY
AORX,SHALLOW RESISTIVITY
ASF10,SHALLOW RESISTIVITY
ASF20,SHALLOW RESISTIVITY
ASFI,SHALLOW RESISTIVITY
ASN,SHALLOW RESISTIVITY
ASO10,SHALLOW RESISTIVITY
ASO20,SHALLOW RESISTIVITY
AST10,SHALLOW RESISTIVITY
AST20,SHALLOW RESISTIVITY
AT10,SHALLOW RESISTIVITY
AT20,SHALLOW RESISTIVITY
ATRX,SHALLOW RESISTIVITY
FE1,SHALLOW RESISTIVITY
HRLS,SHALLOW RESISTIVITY
LL8,SHALLOW RESISTIVITY
MFR,SHALLOW RESISTIVITY
MLL,SHALLOW RESISTIVITY
MSFL,MICRO RESISTIVITY
RSFL,SHALLOW RESISTIVITY
RXO,SHALLOW RESISTIVITY
RXO_HRLT,SHALLOW RESISTIVITY
RXO8,SHALLOW RESISTIVITY
RXOI,SHALLOW RESISTIVITY
RXOZ,SHALLOW RESISTIVITY
SFBC,SHALLOW RESISTIVITY
SFL,SHALLOW RESISTIVITY
SFLA,SHALLOW RESISTIVITY
SFLR,SHALLOW RESISTIVITY
SFLU,SHALLOW RESISTIVITY
SN,SHALLOW RESISTIVITY
AE20,SHALLOW RESISTIVITY
AE30,SHALLOW RESISTIVITY
CSFL,SHALLOW RESISTIVITY
SP,SPONTANEOUS POTENTIAL
SPC,SPONTANEOUS POTENTIAL
SPD,SPONTANEOUS POTENTIAL
SPDF,SPONTANEOUS POTENTIAL
SPP,SPONTANEOUS POTENTIAL
ACAL1,CALIPER
ACAL2,CALIPER
ACAL2_SL,CALIPER
ACAL1_SL,CALIPER
C1,CALIPER
C1_13,CALIPER
C1_24,CALIPER
C1_NCMT,CALIPER
C1_OBMT,CALIPER
C1_OBMT_2,CALIPER
C1_X,CALIPER
C1_Y,CALIPER
C1AZ,CALIPER
C1RB,CALIPER
C1S,CALIPER
C2,CALIPER
C2_13,CALIPER
C2_24,CALIPER
C2_NCMT,CALIPER
C2_OBMT,CALIPER
C2_OBMT_2,CALIPER
C2_X,CALIPER
C2_Y,CALIPER
C2HP_13,CALIPER
C2HP_24,CALIPER
C2S,CALIPER
CAL1,CALIPER
CAL2,CALIPER
CAL3,CALIPER
CAL4,CALIPER
CAL5,CALIPER
CAL6,CALIPER
CAL7,CALIPER
CAL8,CALIPER
CALE,CALIPER
CALE_ARC,CALIPER
CALI,CALIPER
CALI_ADT,CALIPER
CALI_BHC_INCP,CALIPER
CALI_ES,CALIPER
CALI_FSI,CALIPER
CALI_FSI_SL,CALIPER
CALI_QSCS,CALIPER
CALI_SPCS,CALIPER
CALI_TL,CALIPER
CALI_US,CALIPER
CALQ,CALIPER
CALS,CALIPER
CAR1,CALIPER
CAR2,CALIPER
CAR3,CALIPER
CAR4,CALIPER
DCAL,CALIPER
DCAL_CDN,CALIPER
DCAL_ADN_RT,CALIPER
DCAL_CDN_RT,CALIPER
DCAL_BHC_INCP,CALIPER
HCAL,CALIPER
HCAL_ADT,CALIPER
HDEB,CALIPER
HD_INVERT_FILTER,CALIPER
HD_UNCERT,CALIPER
HDRB,CALIPER
HDRH,CALIPER
HDAV,CALIPER
HDC1,CALIPER
HLCA,CALIPER
LCAL,CALIPER
MCAL,CALIPER
C3_13,CALIPER
C3_24,CALIPER
C3HP_13,CALIPER
C3HP_24,CALIPER
DCAV,DENSITY CORRECTION
DCAV_DH_ECO_RT,DENSITY CORRECTION
DCAV_RT,DENSITY CORRECTION
DCAV_WDP,DENSITY CORRECTION
